DRAINAGE POINT,Date,MonthlyOil (bbl),MonthlyGAS (scf),MonthlyWATER (bbl),CONDENSATE (M3),PROD_DAYS
WELL001S-RES3,7/31/1977,25612.88,4661580,15347.6,,31
WELL001S-RES3,8/31/1977,25046.78,4520320,13718.49,,31
WELL001S-RES3,9/30/1977,21423.74,4379060,14410.39,,30
WELL001S-RES3,10/31/1977,20763.29,4449690,14316.04,,31
WELL001S-RES3,11/30/1977,23920.87,4767525,15737.58,,30
WELL001S-RES3,12/31/1977,22870.44,7027685,14511.03,,31
WELL001S-RES3,1/31/1978,20712.97,2295475,19146.76,,31
WELL001S-RES3,2/28/1978,19738.01991,3990595,15825.64,,28
WELL001S-RES3,3/31/1978,20492.81991,4414375,18599.53,,31
WELL001S-RES3,4/30/1978,19675.11991,4237800,17222.02,,30
WELL001S-RES3,5/31/1978,20505.4,4343745,16630.76,,31
WELL001S-RES3,6/30/1978,18870,3672760,15725,,30
WELL001S-RES3,7/31/1978,16920.1,2577995,11617.63,,31
WELL001S-RES3,8/31/1978,16366.58,3001775,11334.58,,31
WELL001S-RES3,9/30/1978,16964.13,2860515,8466.34,,30
WELL001S-RES3,10/31/1978,14636.83,2789885,9938.1991,,31
WELL001S-RES3,11/30/1978,15165.19,2825200,9340.65,,30
WELL001S-RES3,12/31/1978,12517.1,3037090,8026.04,,31
WELL001S-RES3,1/31/1979,12850.47,2683940,16781.72,,31
WELL001S-RES3,2/28/1979,12020.19,2683940,14183.95,,28
WELL001S-RES3,3/31/1979,12624.03,2966460,12951.11,,31
WELL001S-RES3,4/30/1979,12869.34,2648625,11913.26,,30
WELL001S-RES3,5/31/1979,13856.87,2401420,12152.28,,31
WELL001S-RES3,6/30/1979,10812.51,2154215,10347.05,,30
WELL001S-RES3,7/31/1979,13227.87,3072405,14567.64,,31
WELL001S-RES3,8/31/1979,13454.31,3213665,15982.89,,31
WELL001S-RES3,9/30/1979,14114.76,3037090,14473.29,,30
WELL001S-RES3,10/31/1979,18725.33,3566815,17372.98,,31
WELL001S-RES3,11/30/1979,19127.89,3390240,16637.05,,30
WELL001S-RES3,12/31/1979,18039.72,3566815,15875.96,,31
WELL001S-RES3,1/31/1980,17328.95,4308430,19832.37,,31
WELL001S-RES3,2/29/1980,16001.76,3037090,13926.06,,29
WELL001S-RES3,3/31/1980,15901.11991,3001775,17794.41,,31
WELL001S-RES3,4/30/1980,19505.29,3496185,19304.01,,30
WELL001S-RES3,5/31/1980,21360.84,3460870,18851.13,,31
WELL001S-RES3,6/30/1980,16674.79,2931145,19649.96,,30
WELL001S-RES3,7/31/1980,14360.07,2825200,19171.92,,31
WELL001S-RES3,8/31/1980,18360.51,3178350,20870.21991,,31
WELL001S-RES3,9/30/1980,18832.26,3178350,18391.96,,30
WELL001S-RES3,10/31/1980,22794.96,3425555,21983.55,,31
WELL001S-RES3,11/30/1980,18498.89,5191305,19215.95,,30
WELL001S-RES3,12/31/1980,19643.67,211890,19354.33,,31
WELL001S-RES3,1/31/1981,16008.05,2789885,19549.32,,31
WELL001S-RES3,2/28/1981,12649.19,2542680,17863.6,,28
WELL001S-RES3,3/31/1981,16964.13,1801065,18090.04,,31
WELL001S-RES3,4/30/1981,15781.61,1447915,21952.1,,30
WELL001S-RES3,5/31/1981,13322.22,529725,17913.91991,,31
WELL001S-RES3,6/30/1981,23027.69,4838155,18693.88,,30
WELL001S-RES3,7/31/1981,16989.29,2189530,13265.61,,31
WELL001S-RES3,8/31/1981,26524.93,3531500,23241.55,,31
WELL001S-RES3,9/30/1981,26782.81991,3602130,23474.28,,30
WELL001S-RES3,10/31/1981,12668.06,1589175,9862.71991,,31
WELL001S-RES3,11/30/1981,14794.08,2719255,6673.69,,30
WELL001S-RES3,12/31/1981,18769.36,3460870,14875.85,,31
WELL001S-RES3,1/31/1982,10573.49,1871695,8246.19,,31
WELL001S-RES3,2/28/1982,3824.31991,635670,2956.3,,28
WELL001S-RES3,3/31/1982,9711.76,1765750,11800.04,,31
WELL001S-RES3,4/30/1982,14957.61991,3354925,12642.9,,30
WELL001S-RES3,5/31/1982,16800.59,3248980,29072.38,,31
WELL001S-RES3,6/30/1982,6264.84,1518545,7742.99,,30
WELL001S-RES3,7/31/1982,7076.25,1271340,6623.37,,31
WELL001S-RES3,8/31/1982,11290.55,2860515,15498.56,,31
WELL001S-RES3,9/30/1982,11711.98,2366105,18090.04,,30
WELL001S-RES3,10/31/1982,8749.39,3319610,14397.81,,31
WELL001S-RES3,11/30/1982,13806.55,2507365,17895.05,,30
WELL001S-RES3,12/31/1982,8761.97,1341970,10397.37,,31
WELL001S-RES3,1/31/1983,11529.57,1624490,18410.83,,31
WELL001S-RES3,2/28/1983,9523.06,1589175,15372.76,,28
WELL001S-RES3,3/31/1983,6132.75,1130080,14177.66,,31
WELL001S-RES3,4/30/1983,7805.89,1412600,17448.46,,30
WELL001S-RES3,5/31/1983,11422.64,2048270,22140.8,,31
WELL001S-RES3,6/30/1983,9812.4,1624490,17454.75,,30
WELL001S-RES3,7/31/1983,6818.36,1130080,14731.18,,31
WELL001S-RES3,8/31/1983,8239.9,776930,17517.65,,31
WELL001S-RES3,9/30/1983,10435.11,918190,16536.41,,30
WELL001S-RES3,10/31/1983,9724.34,1695120,14674.57,,31
WELL001S-RES3,11/30/1983,11623.91991,2048270,18404.54,,30
WELL001S-RES3,12/31/1983,10145.77,1836380,15454.53,,31
WELL001S-RES3,1/31/1984,9655.15,1765750,12309.53,,31
WELL001S-RES3,2/29/1984,7113.99,1271340,15945.15,,29
WELL001S-RES3,3/31/1984,9378.39,1659805,16253.36,,31
WELL001S-RES3,4/30/1984,8051.1991,1483230,14536.19,,30
WELL001S-RES3,5/31/1984,7032.21991,1236025,17064.77,,31
WELL001S-RES3,6/30/1984,6252.26,1165395,13416.57,,30
WELL001S-RES3,7/31/1984,6667.4,1165395,16605.6,,31
WELL001S-RES3,8/31/1984,2283.27,353150,4176.56,,31
